Name,Age,Position,Lifeboat,Survived,Class,HomeNation,PositionDetailed,Gender,AgeBinned
"Clark, Mr. Walter Miller",27,P,,0,1,USA,Passenger,M,21-30
"Clark, Mrs. Virginia Estelle (née McDowell)",26,P,4,1,1,USA,Passenger,F,21-30
"Clifford, Mr. George Quincy",40,P,,0,1,USA,Passenger,M,31-40
"Colley, Mr. Edward Pomeroy",37,P,,0,1,Ireland,Passenger,M,31-40
"Compton, Mrs. Mary Eliza (née Ingersoll)",64,P,14,1,1,USA,Passenger,F,61-70
"Compton, Miss Sara Rebecca",39,P,14,1,1,USA,Passenger,F,31-40
"Compton, Mr. Alexander Taylor Jr.",37,P,,0,1,USA,Passenger,M,31-40
"Cornell, Mrs. Malvina Helen (née Lamson)",55,P,2,1,1,USA,Passenger,F,51-60
"Crafton, Mr. John Bertram",59,P,,0,1,USA,Passenger,M,51-60
"Crosby, Captain Edward",70,P,,0,1,USA,Passenger,M,61-70
"Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,P,7,1,1,USA,Passenger,F,61-70
"Crosby, Miss Harriette Rebecca",39,P,7,1,1,USA,Passenger,F,31-40
"Cumings, Mr. John Bradley",39,P,,0,1,USA,Passenger,M,31-40
"Cumings, Mrs. Florence Briggs (née Thayer)",35,P,4,1,1,USA,Passenger,F,31-40
"Daly, Mr. Peter Dennis",51,P,A,1,1,Peru,Passenger,M,51-60
"Daniel, Mr. Robert Williams",27,P,3,1,1,USA,Passenger,M,21-30
"Davidson, Mr. Thornton",31,P,,0,1,Canada,Passenger,M,31-40
"Davidson, Mrs. Orian (née Hays)",27,P,3,1,1,Canada,Passenger,F,21-30
"Dick, Mr. Albert Adrian",31,P,3,1,1,Canada,Passenger,M,31-40
"Dick, Mrs. Vera (née Gillespie)",17,P,3,1,1,Canada,Passenger,F,11-20
"Dodge, Dr. Washington",52,P,13,1,1,USA,Passenger,M,51-60
"Dodge, Mrs. Ruth (née Vidaver)",34,P,5,1,1,USA,Passenger,F,31-40
"Dodge, Master Washington, Jr.",4,P,5,1,1,USA,Passenger,M,< 10
"Douglas, Mr. Walter Donald",50,P,,0,1,USA,Passenger,M,41-50
"Douglas, Mrs. Mahala (née Dutton)",48,P,2,1,1,USA,Passenger,F,41-50
"Leroy, Miss Berthe ",27,P,2,1,1,USA,Passenger,F,21-30
"Douglas, Mrs. Mary Hélène (née Baxter)",27,P,6,1,1,Canada,Passenger,F,21-30
"Duff Gordon, Sir Cosmo Edmund",49,P,1,1,1,England,Passenger,M,41-50
"Duff Gordon, Lucy Christiana, Lady (née Sutherland)",48,P,1,1,1,England,Passenger,F,41-50
"Francatelli, Miss Laura Mabel ",31,P,1,1,1,England,Passenger,F,31-40
"Dulles, Mr. William Crothers",39,P,,0,1,USA,Passenger,M,31-40
"Edward, Mr. John Samuel",27,P,5,1,1,Belarus,Passenger,M,21-30
"Eustis, Miss Elizabeth Mussey",54,P,4,1,1,USA,Passenger,F,51-60
"Evans, Miss Edith Corse",36,P,,0,1,USA,Passenger,F,31-40
"Flegenheim, Mrs. Antoinette (née Liche)",48,P,7,1,1,USA,Passenger,F,41-50
"Flynn, Mr. John Irwin",36,P,5,1,1,USA,Passenger,M,31-40
"Foreman, Mr. Benjamin Laventall",30,P,,0,1,USA,Passenger,M,21-30
"Fortune, Mr. Mark",64,P,,0,1,Canada,Passenger,M,61-70
"Fortune, Mrs. Mary (née McDougald)",60,P,10,1,1,Canada,Passenger,F,51-60
"Fortune, Miss Ethel Flora",28,P,10,1,1,Canada,Passenger,F,21-30
"Fortune, Miss Alice Elizabeth",24,P,10,1,1,Canada,Passenger,F,21-30
"Fortune, Miss Mabel Helen",23,P,10,1,1,Canada,Passenger,F,21-30
"Fortune, Mr. Charles Alexander",19,P,,0,1,Canada,Passenger,M,11-20
"Franklin, Mr. Thomas Parnham",37,P,,0,1,England,Passenger,M,31-40
"Frauenthal, Dr. Henry William",49,P,5,1,1,England,Passenger,M,41-50
"Frauenthal, Mrs. Clara (née Heinsheimer)",42,P,5,1,1,England,Passenger,F,41-50
"Frauenthal, Mr. Isaac Gerald",43,P,5,1,1,England,Passenger,M,41-50
"Frölicher, Mr. Maximilian Josef",60,P,5,1,1,Switzerland,Passenger,M,51-60
"Frölicher, Mrs. Margaretha Emerentia (née Stehli)",48,P,5,1,1,Switzerland,Passenger,F,41-50
"Frölicher-Stehli, Miss Hedwig Margaritha",22,P,5,1,1,Switzerland,Passenger,F,21-30
"Futrelle, Mr. Jacques Heath",37,P,,0,1,USA,Passenger,M,31-40
"Futrelle, Mrs. Lily May (née Peel)",35,P,D,1,1,USA,Passenger,F,31-40
"Gee, Mr. Arthur H.",47,P,,0,1,England,Passenger,M,41-50
"Gibson, Mrs. Pauline Caroline (née Boeson)",44,P,7,1,1,USA,Passenger,F,41-50
"Gibson, Miss Dorothy Winifred",22,P,7,1,1,USA,Passenger,F,21-30
"Goldenberg, Mr. Samuel L.",47,P,5,1,1,France,Passenger,M,41-50
"Goldenberg, Mrs. Nella (née Wiggins)",40,P,5,1,1,France,Passenger,F,31-40
"Goldschmidt, Mr. George B.",71,P,,0,1,USA,Passenger,M,71+
"Gracie IV, Archibald",53,P,B,1,1,USA,Passenger,M,51-60
"Graham, Mr. George Edward",38,P,,0,1,Canada,Passenger,M,31-40
"Graham, Mrs. Edith Ware (née Junkins)",59,P,3,1,1,USA,Passenger,F,51-60
"Graham, Miss Margaret Edith",19,P,3,1,1,USA,Passenger,F,11-20
"Shutes, Miss Elizabeth Weed ",40,P,3,1,1,USA,Passenger,F,31-40
"Greenfield, Mrs. Blanche (née Strouse)",45,P,7,1,1,USA,Passenger,F,41-50
"Greenfield, Mr. William Bertram",23,P,7,1,1,USA,Passenger,M,21-30
"Guggenheim, Mr. Benjamin",46,P,,0,1,France,Passenger,M,41-50
"Giglio, Mr. Victor ",24,P,,0,1,France,Passenger,M,21-30
"Pernot, Mr. René",39,P,,0,1,France,Passenger,M,31-40
"Harder, Mr. George Achilles",25,P,5,1,1,USA,Passenger,M,21-30
"Harder, Mrs. Dorothy (née Annan)",21,P,5,1,1,USA,Passenger,F,21-30
"Harper, Mr. Henry Sleeper",48,P,3,1,1,USA,Passenger,M,41-50
"Hassab, Mr. Hammad ",27,P,3,1,1,Egypt,Passenger,M,21-30
"Harper, Mrs. Myna (née Haxtun)",49,P,3,1,1,USA,Passenger,F,41-50
"Harris, Mr. Henry Birkhardt",45,P,,0,1,USA,Passenger,M,41-50
"Harris, Mrs. Irene (née Wallach)",35,P,D,1,1,USA,Passenger,F,31-40
"Hawksford, Mr. Walter James",45,P,3,1,1,England,Passenger,M,41-50
"Hays, Mr. Charles Melville",55,P,,0,1,Canada,Passenger,M,51-60
"Payne, Mr. Vivian Ponsonby ",22,P,,0,1,Canada,Passenger,M,21-30
"Hays, Mrs. Clara Jennings (née Grigg)",52,P,3,1,1,Canada,Passenger,F,51-60
"Perreault, Miss Mary Anne ",33,P,3,1,1,Canada,Passenger,F,31-40
"Hays, Miss Margaret Bechstein",24,P,7,1,1,USA,Passenger,F,21-30
"Head, Mr. Christopher",42,P,,0,1,England,Passenger,M,41-50
"Hilliard, Mr. Herbert Henry",44,P,,0,1,USA,Passenger,M,41-50
"Hipkins, Mr. William Edward",55,P,,0,1,England,Passenger,M,51-60
"Hippach, Mrs. Ida Sophia (née Fischer)",44,P,4,1,1,USA,Passenger,F,41-50
"Hippach, Miss Jean Gertrude",17,P,4,1,1,USA,Passenger,F,11-20
"Hogeboom, Mrs. Anna Louisa (née Andrews)",51,P,10,1,1,USA,Passenger,F,51-60
"Holverson, Mr. Alexander Oskar",42,P,,0,1,USA,Passenger,M,41-50
"Holverson, Mrs. Mary Aline (née Towner)",35,P,8,1,1,USA,Passenger,F,31-40
"Homer, Mr. Harry (alias E. Haven)",40,P,15,1,1,USA,Passenger,M,31-40
"Hoyt, Mr. Frederick Maxfield",35,P,D,1,1,USA,Passenger,M,31-40
"Hoyt, Mrs. Jane Anne (née Forby)",31,P,D,1,1,USA,Passenger,F,31-40
"Hoyt, Mr. William Fisher",42,P,14,1,1,USA,Passenger,M,41-50
"Isham, Miss Ann Elizabeth",50,P,,0,1,USA,Passenger,F,41-50
"Ismay, Mr. Joseph Bruce",49,P,C,1,1,England,Passenger,M,41-50
"Fry, Mr. John Richard ",39,P,,0,1,England,Passenger,M,31-40
"Harrison, Mr. William Henry ",45,P,,0,1,England,Passenger,M,41-50
"Jones, Mr. Charles Cresson",46,P,,0,1,USA,Passenger,M,41-50
"Julian, Mr. Henry Forbes",50,P,,0,1,England,Passenger,M,41-50
"Kent, Mr. Edward Austin",58,P,,0,1,USA,Passenger,M,51-60
"Kenyon, Mr. Frederick R.",41,P,,0,1,USA,Passenger,M,41-50
"Kenyon, Mrs. Marion (née Stauffer)[52][57]",31,P,8,1,1,USA,Passenger,F,31-40
"Kimball, Mr. Edwin Nelson Jr.",42,P,5,1,1,USA,Passenger,M,41-50
"Kimball, Mrs. Gertrude (née Parsons)",45,P,5,1,1,USA,Passenger,F,41-50
"Klaber, Mr. Herman",--,P,,0,1,USA,Passenger,M,71+
"Lambert-Williams, Mr. Fletcher Fellows",--,P,,0,1,England,Passenger,M,71+
"Leader, Dr. Alice (née Farnham)",49,P,8,1,1,USA,Passenger,M,41-50
"Leslie, Lucy Noël Martha, Countess of Rothes (née Dyer-Edwardes)",27,P,8,1,1,Canada,Passenger,F,21-30
"Maioni, Miss Roberta Elizabeth Mary ""Cissy""",20,P,8,1,1,Canada,Passenger,F,11-20
"Lewy, Mr. Ervin G.",31,P,,0,1,USA,Passenger,M,31-40
"Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey)",42,P,,0,1,Sweden,Passenger,M,41-50
"Lindström, Mrs. Sigrid (née Posse)",55,P,6,1,1,Sweden,Passenger,F,51-60
"Lines, Mrs. Elizabeth Lindsey (née James)",50,P,9,1,1,France,Passenger,F,41-50
"Lines, Miss Mary Conover",16,P,9,1,1,France,Passenger,F,11-20
"Long, Mr. Milton Clyde",29,P,,0,1,USA,Passenger,M,21-30
"Longley, Miss Gretchen Fiske",21,P,10,1,1,USA,Passenger,F,21-30
"Loring, Mr. Joseph Holland",30,P,,0,1,England,Passenger,M,21-30
"Madill, Miss Georgette Alexandra",16,P,2,1,1,USA,Passenger,F,11-20
"Maguire, Mr. John Edward",30,P,,0,1,USA,Passenger,M,21-30
"Maréchal, Mr. Pierre, Sr.",28,P,7,1,1,France,Passenger,M,21-30
"Marvin, Mr. Daniel Warner",18,P,,0,1,USA,Passenger,M,11-20
"Marvin, Mrs. Mary Graham Carmichael (née Farquarson)[52][59]",18,P,10,1,1,USA,Passenger,F,11-20
"Mayné, Miss Bertha Antonine",24,P,6,1,1,Belgium,Passenger,F,21-30
"McCaffry, Mr. Thomas Francis",46,P,,0,1,Canada,Passenger,M,41-50
"McCarthy, Mr. Timothy J.",54,P,,0,1,USA,Passenger,M,51-60
"McGough, Mr. James Robert",35,P,7,1,1,USA,Passenger,M,31-40
"Meyer, Mr. Edgar Joseph",28,P,,0,1,USA,Passenger,M,21-30
"Meyer, Mrs. Leila (née Saks)",25,P,6,1,1,USA,Passenger,F,21-30
"Millet, Mr. Francis Davis",65,P,,0,1,USA,Passenger,M,61-70
"Minahan, Dr. William Edward",44,P,,0,1,USA,Passenger,M,41-50
"Minahan, Mrs. Lillian E. (née Thorpe)",37,P,14,1,1,USA,Passenger,F,31-40
"Minahan, Miss Daisy E.",33,P,14,1,1,USA,Passenger,F,31-40
"Mock, Mr. Philipp Edmund",30,P,11,1,1,USA,Passenger,M,21-30
"Molson, Mr. Harry Markland",55,P,,0,1,Canada,Passenger,M,51-60
"Moore, Mr. Clarence Bloomfield",47,P,,0,1,USA,Passenger,M,41-50
"Harrington, Mr. Charles Henry ",37,P,,0,1,USA,Passenger,M,31-40
"Natsch, Mr. Charles",36,P,,0,1,USA,Passenger,M,31-40
"Newell, Mr. Arthur Webster",58,P,,0,1,USA,Passenger,M,51-60
"Newell, Miss Madeleine",31,P,6,1,1,USA,Passenger,F,31-40
"Newell, Miss Marjorie Anne",23,P,6,1,1,USA,Passenger,F,21-30
"Newsom, Miss Helen Monypeny",19,P,5,1,1,USA,Passenger,F,11-20
"Nicholson, Mr. Arthur Ernest",64,P,,0,1,England,Passenger,M,61-70
"Nourney, Mr. Alfred",20,P,7,1,1,Germany,Passenger,M,11-20
"Omont, Mr. Alfred Fernand",29,P,7,1,1,France,Passenger,M,21-30
"Ostby, Mr. Engelhart Cornelius",64,P,,0,1,USA,Passenger,M,61-70
"Ostby, Miss Helene Ragnhild",22,P,5,1,1,USA,Passenger,F,21-30
"Ovies y Rodriguez, Mr. Servando José Florentino",36,P,,0,1,Cuba,Passenger,M,31-40
"Parr, Mr. William Henry Marsh[54]",29,P,,0,1,Ireland,Passenger,M,21-30
"Partner, Mr. Austin",40,P,,0,1,England,Passenger,M,31-40
"Pears, Mr. Thomas Clinton",29,P,,0,1,England,Passenger,M,21-30
"Pears, Mrs. Edith (née Wearne)",22,P,8,1,1,England,Passenger,F,21-30
"Peñasco y Castellana, Mr. Victor",24,P,,0,1,Spain,Passenger,M,21-30
"Peñasco y Castellana, Mrs. Maria Josefa (née Perez de Soto y Vallejo)",22,P,8,1,1,Spain,Passenger,F,21-30
"Oliva y Ocana, Doña Fermina ",39,P,8,1,1,Spain,Passenger,F,31-40
"Peuchen, Major Arthur Godfrey",52,P,6,1,1,Canada,Passenger,M,51-60
"Porter, Mr. Walter Chamberlain",46,P,,0,1,USA,Passenger,M,41-50
"Potter, Mrs. Lily Alexenia (née Wilson)",56,P,7,1,1,USA,Passenger,F,51-60
"Reuchlin, The Honourable Mr. Johan George",38,P,,0,1,The Netherlands,Passenger,M,31-40
"Rheims, Mr. George Alexander Lucien",36,P,A,1,1,France,Passenger,M,31-40
"Robert, Mrs. Elisabeth Walton (née McMillan)",43,P,2,1,1,USA,Passenger,F,41-50
"Kreuchen, Miss Emilie ",29,P,2,1,1,USA,Passenger,F,21-30
"Roebling, Mr. Washington Augustus II",31,P,,0,1,USA,Passenger,M,31-40
"Romaine, Mr. Charles Hallance (alias C. Rolmane)",45,P,9,1,1,USA,Passenger,M,41-50
"Rood, Mr. Hugh Roscoe",38,P,,0,1,USA,Passenger,M,31-40
"Rosenbaum, Miss Edith Louise",34,P,11,1,1,France,Passenger,F,31-40
"Rosenshine, Mr. George (alias George Thorne)",46,P,,0,1,USA,Passenger,M,41-50
"Ross, Mr. John Hugo",36,P,,0,1,Canada,Passenger,M,31-40
"Rothschild, Mr. Martin",46,P,,0,1,USA,Passenger,M,41-50
"Rothschild, Mrs. Elizabeth Jane Anne (née Barrett)",54,P,6,1,1,USA,Passenger,F,51-60
"Rowe, Mr. Alfred G.",59,P,,0,1,England,Passenger,M,51-60
"Ryerson, Mr. Arthur Larned",61,P,,0,1,USA,Passenger,M,61-70
"Ryerson, Mrs. Emily Maria (née Borie)",48,P,4,1,1,USA,Passenger,F,41-50
"Chaudanson, Miss Victorine ",36,P,4,1,1,USA,Passenger,F,31-40
"Ryerson, Miss Susan Parker ""Suzette""",21,P,4,1,1,USA,Passenger,F,21-30
"Ryerson, Miss Emily Borie",18,P,4,1,1,USA,Passenger,F,11-20
"Ryerson, Master John Borie ""Jack""",13,P,4,1,1,USA,Passenger,M,11-20
"Bowen, Miss Grace Scott ",45,P,4,1,1,USA,Passenger,F,41-50
"Saalfeld, Mr. Adolphe",47,P,3,1,1,England,Passenger,M,41-50
"Salomon, Mr. Abraham Lincoln",43,P,1,1,1,USA,Passenger,M,41-50
"Schabert, Mrs. Emma (née Mock)",35,P,11,1,1,Germany,Passenger,F,31-40
"Seward, Mr. Frederic Kimber",34,P,7,1,1,USA,Passenger,M,31-40
"Silverthorne, Mr. Spencer Victor",35,P,5,1,1,USA,Passenger,M,31-40
"Silvey, Mr. William Baird",50,P,,0,1,USA,Passenger,M,41-50
"Silvey, Mrs. Alice (née Munger)",39,P,11,1,1,USA,Passenger,F,31-40
"Simonius-Blumer, Colonel Alfons",56,P,3,1,1,Switzerland,Passenger,M,51-60
"Sloper, Mr. William Thompson",28,P,7,1,1,USA,Passenger,M,21-30
"Smart, Mr. John Montgomery",56,P,,0,1,England,Passenger,M,51-60
"Smith, Mr. James Clinch",56,P,,0,1,France,Passenger,M,51-60
"Smith, Mr. Lucien Philip",24,P,,0,1,USA,Passenger,M,21-30
"Smith, Mrs. Mary Eloise (née Hughes)",18,P,6,1,1,USA,Passenger,F,11-20
"Smith, Mr. Richard William",57,P,,0,1,England,Passenger,M,51-60
"Snyder, Mr. John Pillsbury",24,P,7,1,1,USA,Passenger,M,21-30
"Snyder, Mrs. Nellie (née Stevenson)",23,P,7,1,1,USA,Passenger,F,21-30
"Spedden, Mr. Frederic Oakley",45,P,3,1,1,USA,Passenger,M,41-50
"Spedden, Mrs. Margaretta Corning (née Stone)",39,P,3,1,1,USA,Passenger,F,31-40
"Wilson, Miss Helen Alice ",31,P,3,1,1,USA,Passenger,F,31-40
"Spedden, Master Robert Douglas",6,P,3,1,1,USA,Passenger,M,< 10
"Burns, Miss Elizabeth Margaret ",41,P,3,1,1,USA,Passenger,F,41-50
"Spencer, Mr. William Augustus",57,P,,0,1,USA,Passenger,M,51-60
"Spencer, Mrs. Marie Eugenie",45,P,6,1,1,USA,Passenger,F,41-50
"Lurette, Miss Eugenie Elise ",59,P,6,1,1,USA,Passenger,F,51-60
"Stähelin-Maeglin, Dr. Max",32,P,3,1,1,Switzerland,Passenger,M,31-40
"Stead, Mr. William Thomas",62,P,,0,1,England,Passenger,M,61-70
"Stengel, Mr. Charles Emil Henry",54,P,1,1,1,USA,Passenger,M,51-60
"Stengel, Mrs. Annie May (née Morris)",44,P,5,1,1,USA,Passenger,F,41-50
"Stephenson, Mrs. Martha (née Eustis)",52,P,4,1,1,France,Passenger,F,51-60
"Stewart, Mr. Albert A.",54,P,,0,1,USA,Passenger,M,51-60
"Stone, Mrs. Martha Evelyn (née Stevens)",62,P,6,1,1,USA,Passenger,F,61-70
"Icard, Miss Amelie ""Amelia"" ",38,P,6,1,1,USA,Passenger,F,31-40
"Straus, Mr. Isidor",67,P,,0,1,USA,Passenger,M,61-70
"Farthing, Mr. John ",57,P,,0,1,USA,Passenger,M,51-60
"Straus, Mrs. Rosalie Ida (née Blun)",63,P,,0,1,USA,Passenger,F,61-70
"Bird, Miss Ellen ",31,P,8,1,1,USA,Passenger,F,31-40
"Sutton, Mr. Frederick",61,P,,0,1,USA,Passenger,M,61-70
"Swift, Mrs. Margaret Welles (née Barron)",46,P,8,1,1,USA,Passenger,F,41-50
"Taussig, Mr. Emil",52,P,,0,1,USA,Passenger,M,51-60
"Taussig, Mrs. Tillie (née Mandelbaum)",39,P,8,1,1,USA,Passenger,F,31-40
"Taussig, Miss Ruth",18,P,8,1,1,USA,Passenger,F,11-20
"Taylor, Mr. Elmer Zebley",48,P,5,1,1,England,Passenger,M,41-50
"Taylor, Mrs. Juliet Cummins (née Wright)",48,P,5,1,1,England,Passenger,F,41-50
"Thayer, Mr. John Borland II",49,P,,0,1,USA,Passenger,M,41-50
"Thayer, Mrs. Marian Longsteth (née Morris)",39,P,4,1,1,USA,Passenger,F,31-40
"Fleming, Miss Margaret ",42,P,4,1,1,USA,Passenger,F,41-50
"Thayer, Mr. John Borland ""Jack"" III",17,P,B,1,1,USA,Passenger,M,11-20
"Thorne, Miss Gertrude Maybelle",38,P,D,1,1,USA,Passenger,F,31-40
"Tucker, Mr. Gilbert Milligan Jr.",31,P,7,1,1,USA,Passenger,M,31-40
"Uruchurtu, Don Manuel E.",40,P,,0,1,Mexico,Passenger,M,31-40
"Van der Hoef, Mr. Wyckoff",61,P,,0,1,USA,Passenger,M,61-70
"Walker, Mr. William Anderson",48,P,,0,1,USA,Passenger,M,41-50
"Warren, Mr. Frank Manley",63,P,,0,1,USA,Passenger,M,61-70
"Warren, Mrs. Anna Sophia (née Atkinson)",60,P,5,1,1,USA,Passenger,F,51-60
"Weir, Colonel John",59,P,,0,1,USA,Passenger,M,51-60
"White, Mr. Percival Wayland",54,P,,0,1,USA,Passenger,M,51-60
"White, Mr. Richard Frasar",21,P,,0,1,USA,Passenger,M,21-30
"White, Mrs. Ella (née Holmes)",55,P,8,1,1,USA,Passenger,F,51-60
"Bessette, Miss Amelia Mayo ""Nellie"" ",39,P,8,1,1,USA,Passenger,F,31-40
"Righini, Mr. Sante ",22,P,,0,1,USA,Passenger,M,21-30
"Wick, Colonel George Dennick",58,P,,0,1,USA,Passenger,M,51-60
"Wick, Mrs. Mary (née Hitchcock)",45,P,8,1,1,USA,Passenger,F,41-50
"Wick, Miss Mary Natalie",31,P,8,1,1,USA,Passenger,F,31-40
"Widener, Mr. George Dunton",50,P,,0,1,USA,Passenger,M,41-50
"Keeping, Mr. Edwin Herbert ",33,P,,0,1,USA,Passenger,M,31-40
"Widener, Mrs. Eleanor (née Elkins)",50,P,4,1,1,USA,Passenger,F,41-50
"Gieger, Miss Amalie Henriette ""Emily"" ",35,P,4,1,1,USA,Passenger,F,31-40
